Row,Column,Droplet
0,0,10
0,1,10
0,2,10
0,3,10
0,4,10
0,5,10
0,6,10
0,7,10
0,8,10
0,9,10
0,10,10
0,11,10
0,12,10
0,13,10
0,14,10
0,15,10
0,16,10
0,17,10
0,18,10
0,19,10
0,20,10
0,21,10
0,22,10
0,23,10
1,23,10
1,22,10
1,21,10
1,20,10
1,19,10
1,18,10
1,17,10
1,16,10
1,15,10
1,14,10
1,13,10
1,12,10
1,11,10
1,10,10
1,9,10
1,8,10
1,7,10
1,6,10
1,5,10
1,4,10
1,3,10
1,2,10
1,1,10
1,0,10
2,0,10
2,1,10
2,2,10
2,3,10
2,4,10
2,5,10
2,6,10
2,7,10
2,8,10
2,9,10
2,10,10
2,11,10
2,12,10
2,13,10
2,14,10
2,15,10
2,16,10
2,17,10
2,18,10
2,19,10
2,20,10
2,21,10
2,22,10
2,23,10
3,23,10
3,22,10
3,21,10
3,20,10
3,19,10
3,18,10
3,17,10
3,16,10
3,15,10
3,14,10
3,13,10
3,12,10
3,11,10
3,10,10
3,9,10
3,8,10
3,7,10
3,6,10
3,5,10
3,4,10
3,3,10
3,2,10
3,1,10
3,0,10
4,0,10
4,1,10
4,2,10
4,3,10
4,4,10
4,5,10
4,6,10
4,7,10
4,8,10
4,9,10
4,10,10
4,11,10
4,12,10
4,13,10
4,14,10
4,15,10
4,16,10
4,17,10
4,18,10
4,19,10
4,20,10
4,21,10
4,22,10
4,23,10
5,23,10
5,22,10
5,21,10
5,20,10
5,19,10
5,18,10
5,17,10
5,16,10
5,15,10
5,14,10
5,13,10
5,12,10
5,11,10
5,10,10
5,9,10
5,8,10
5,7,10
5,6,10
5,5,10
5,4,10
5,3,10
5,2,10
5,1,10
5,0,10
